name,grade,style,crag,area,country,shortnote,notes,date,project,stars,cragnote
Riesenslalom Direkt,10,,Püttlacher Wand,Frankenjura,Germany,,Crux an Einfingerlöchern in der Platte und pump oben. Geht!!! Ich falle immer oben... Scheiß! 2017 nach der EP Vertiefung Prüfung im 2. Go abgeholt. Geil! Nicht supr direkt geklettert... Logischste Linie mit der großen Schuppe,7. August 2017,,3,"morgens Sonne drin, sonst schattig."
Graue Eminenz,9,2. Go,Püttlacher Wand,Frankenjura,Germany,,2. Versuch,2014,,1,"morgens Sonne drin, sonst schattig."
Treibjagd,9-,F,Püttlacher Wand,Frankenjura,Germany,,,2014,,2,"morgens Sonne drin, sonst schattig."
Iquebana,8,o.s.,Püttlacher Wand,Frankenjura,Germany,,,2014,,3,"morgens Sonne drin, sonst schattig."
Seniorentreff,8-,o.s.,Püttlacher Wand,Frankenjura,Germany,,,2014,,2,"morgens Sonne drin, sonst schattig."
Abseitsfalle,8-,o.s.,Püttlacher Wand,Frankenjura,Germany,,,2014,,3,"morgens Sonne drin, sonst schattig."
Cool beim Chef,8-,o.s.,Püttlacher Wand,Frankenjura,Germany,,,2014,,2,"morgens Sonne drin, sonst schattig."
Alten Resten eine Chance,7,o.s.,Püttlacher Wand,Frankenjura,Germany,,,2014,,2,"morgens Sonne drin, sonst schattig."
Antigravitation,9+/10-,,Einstein,Frankenjura,Germany,,"am gleichen Tag wie Odd Fellows und LA Crash (8c,8a,8a) – MEGA Tag!",2020-05-17,,,
Land of Confusion,10/10+,,Emporwand,Frankenjura,Germany,,,,X,3,
La Levitation,10+,,Emporwand,Frankenjura,Germany,,,,X,3,
Dirty Work,10-,,Emporwand,Frankenjura,Germany,,"sehr kleine, schmerzhafte Leisten in vertikalem bis plattigem Gelände. Nach oben immer schwerer werdend, coole mittelleichte  Rissverschneidung oben",,X,,
Glasperlenspiel,8,o.s.,Emporwand,Frankenjura,Germany,,"2 Einzelstellen, dazwischen ein 5er",2016-06-01,,,
Emporweg,6+,o.s.,Emporwand,Frankenjura,Germany,hard,kleines Abenteuer ohne Cams,2022-10-12,,,
Nightmare,10,,Eldorado,Frankenjura,Germany,,"10 harte Züge: der Erste sehr weit, Deadpoint von der geilsten Pinch Frankens in ein Mono, oben weite Züge an offenen Leisten",2019-10-30,,3,"sehr, sehr lange nass im Frühjahr. Im Herbst dafür immer trocken.. Cooler Fels mit brettharten, 60° steilen Routen. Nightmare schaut hammer aus"
Hall of Fame,9,,Eldorado,Frankenjura,Germany,,"nicht schwerer als Ekel glaube ich , nach Nightmare",2019-10-30,,1,
Ekel,9+,,Eldorado,Frankenjura,Germany,,"Einstieg ist sehr spannungslastig, oben weite Züge in schlecht abgesichertem Gelände aber ultra fett!",14. September 2017,,3,"sehr, sehr lange nass im Frühjahr. Im Herbst dafür immer trocken.. Cooler Fels mit brettharten, 60° steilen Routen. Nightmare schaut hammer aus"
No More Babysitting for Neurotic Girls Today,9-/9,,Eldorado,Frankenjura,Germany,,hart! Aber auch sehr cool Typisch Fränkisch!,14. September 2017,,1,"sehr, sehr lange nass im Frühjahr. Im Herbst dafür immer trocken.. Cooler Fels mit brettharten, 60° steilen Routen. Nightmare schaut hammer aus"
Glaspatronenmatch,9+,,Endorama,Frankenjura,Germany,,"sehr schöne Ausdauertour. Einstieg war im Durchstieg nass, deswegen Querung Fußtritt nass und sehr schwer. Oben nochmal dranbleiben und an Fingerloch rechts rausziehen.",2015-05-01,,1,"Die Einstiege zu Glaspatronenmatch etc. Sind fast immer nass. New Orleans ist eigentlich immer trocken, morgens kommt die Sonne rein"
Der letze Bohrhakenkrieg,9,,Endorama,Frankenjura,Germany,,"2013: Senkrechte Wandkletterei. Brutale Einfingerlochzüge, schmerzhaft für Finger! Vorsicht!",2022-06-05,,2,"Die Einstiege zu Glaspatronenmatch etc. Sind fast immer nass. New Orleans ist eigentlich immer trocken, morgens kommt die Sonne rein"
Dauermauer,8+,F,Endorama,Frankenjura,Germany,,Dreckig schwerer Einstieg. Der Einstieg zu den 4 Routen dort (mit Glaspatronenmach) ist lange nass!,2015-05-01,,,"Die Einstiege zu Glaspatronenmatch etc. Sind fast immer nass. New Orleans ist eigentlich immer trocken, morgens kommt die Sonne rein"
Bohrhakengewinsel,8,o.s.,Endorama,Frankenjura,Germany,,Naja...,2022-06-05,,,
Papa hat's gebohrt,8-,o.s.,Endorama,Frankenjura,Germany,,,2013,,,"Die Einstiege zu Glaspatronenmatch etc. Sind fast immer nass. New Orleans ist eigentlich immer trocken, morgens kommt die Sonne rein"
Rechts vom Moos,7,F,Endorama,Frankenjura,Germany,,,2013,,,"Die Einstiege zu Glaspatronenmatch etc. Sind fast immer nass. New Orleans ist eigentlich immer trocken, morgens kommt die Sonne rein"
Ein kleines bisschen Bauch,9+,,Steinberg,Frankenjura,Germany,,tatsächlich ganz coole Boulderzüge,2016-04-01,,1,"Scheißfels, dreckig und die schweren Touren sind total schmerzhaft und unlohnend"
Powerplay,9,F,Steinberg,Frankenjura,Germany,,Campuszüge in der Mitte nach anlaufen von kleinem Untergriff,2016-04-01,,,"Scheißfels, dreckig und die schweren Touren sind total schmerzhaft und unlohnend"
Traveller in Time,9,,Steinberg,Frankenjura,Germany,,"schmerzhaft, dreckig und unlohnend",2016-04-01,,0,"Scheißfels, dreckig und die schweren Touren sind total schmerzhaft und unlohnend"
Energiekriese,8+,F,Steinberg,Frankenjura,Germany,,schwer,2016-04-01,,,"Scheißfels, dreckig und die schweren Touren sind total schmerzhaft und unlohnend"
Geisterfänger,8-,F,Steinberg,Frankenjura,Germany,,ok,2016-04-01,,,"Scheißfels, dreckig und die schweren Touren sind total schmerzhaft und unlohnend"
L´allipinist,7,o.s.,Steinberg,Frankenjura,Germany,,"Steilste 7-, die ich kenne!",2016-04-01,,2,"Scheißfels, dreckig und die schweren Touren sind total schmerzhaft und unlohnend"
Funk Beyond The Call Of Duty,10-,,Schöfflblock,Frankenjura,Germany,soft,1 Tag,2019-03-31,,,Erstaunlich gut!
Schönwetter,9-,o.s.,Schöne Aussicht,Frankenjura,Germany,,,2014,,,"netter Fels für leichte Touren, sonnig, idyllisch"
Schöner Leben,8-,o.s.,Schöne Aussicht,Frankenjura,Germany,hard,Eher 8,2014,,,"netter Fels für leichte Touren, sonnig, idyllisch"
Schöne Aussicht,8-,o.s.,Schöne Aussicht,Frankenjura,Germany,,,2014,,,"netter Fels für leichte Touren, sonnig, idyllisch"
Schöne Platte,8-,o.s.,Schöne Aussicht,Frankenjura,Germany,,,2014,,,"netter Fels für leichte Touren, sonnig, idyllisch"
Schöner Einstieg,7+,o.s.,Schöne Aussicht,Frankenjura,Germany,,,2014,,,"netter Fels für leichte Touren, sonnig, idyllisch"
Schöne Sache,7+,o.s.,Schöne Aussicht,Frankenjura,Germany,,,2014,,,"netter Fels für leichte Touren, sonnig, idyllisch"
Schöner Riss,6+,o.s.,Schöne Aussicht,Frankenjura,Germany,,,2014,,,"netter Fels für leichte Touren, sonnig, idyllisch"
Ekstase,8+,2. Go,Signalstein,Frankenjura,Germany,,2. go,2013,,,Hier ist einmal im Jahr das Signalsteinfels. Da dann eher Bier trinken statt klettern
SZ,7,o.s.,Signalstein,Frankenjura,Germany,,,2022-09-29,,2,
Südpfeiler,3,o.s.,Signalstein,Frankenjura,Germany,Solo,erste Free Solo,2013,,,Hier ist einmal im Jahr das Signalsteinfels. Da dann eher Bier trinken statt klettern
Killer,10,,Schüttersmühler Wand,Frankenjura,Germany,,"2 Tage, bester 10er Frankens. Echt deluxe!! Unten an der Dachkante mit geilen Hooks ca 9, dann ein 7b+ Boulder. Jeeeeah! Erste 10 in Franken",2015-11-01,,3,
Thriller,10-,,Schüttersmühler Wand,Frankenjura,Germany,,"kann man Trad klettern: 2x BD 0.75, 1x BD 0.4, 1x BD Nut #5 (lila). Scary aber nicht lebensgefährlich",,X,3,
Luftballondach,9,,Schüttersmühler Wand,Frankenjura,Germany,hard,"mein erster richtiger Riss. Faust- und Handklemmer im waagrechten Dach. Cam 3&4 passen, eig braucht man aber nur einen großen Keil.",2016-07-01,,3,
Rechter Höhlendach,7+,o.s.,Schüttersmühler Wand,Frankenjura,Germany,,"Offwidth, 3&4er Cam",2016-07-01,,,
Falanga,10-,o.s.,Bayreuther Riss,Frankenjura,Germany,,"Nachdem ich gestern Aroma Del Sol klettern konnte und ne leichte Erkältung habe, hatte ich mir für heute gar nichts vorgenommen. Conner hatte Bock auf den Bayreuther Riss, also los. Zunächst Just in Time o.s. geklettern und ziemlich gut gefühl, dann einfach ohne Erwartungen hier eingestiegen. Von unten sieht man nichts, es ist die volle Platte. Irgendwie bin ich dann total in den Flow State gekommen und durch alles perfekt durchgekommen. Ziemlich stolz auch die Haken geklippt zu haben. Im No-Hand Rest hatte ich einen halben Herzinfarkt und war ziemlich nervös es oben raus noch zu versemmeln. Dort war auch nochmal ein nasser Griff im Riss wo ich fast abgerutscht bin, aber zum Glück nicht, ey! Sooooo fett! Erste 10- on-sight",2021-04-03,,1,etwas splittriges Gestein aber coole Neuerschließungen
Zentralmassiv,10-,,Bayreuther Riss,Frankenjura,Germany,soft,"Eher 9+/10-. Coole Kletterei an gemachten, kleinen, scharfen Leisten. Zusammen mit Henni",4. April 2017,,2,etwas splittriges Gestein aber coole Neuerschließungen
The Shield,9/9+,o.s.,Bayreuther Riss,Frankenjura,Germany,,"schwer zu bewerten, leicht 9+ oder schwer 9. Auf jeden Fall SUPER.",2021-04-03,,3,etwas splittriges Gestein aber coole Neuerschließungen
Bela Lugosi,9,o.s.,Bayreuther Riss,Frankenjura,Germany,hard,schweeeeer und kleine Steller!,4. April 2017,,1,etwas splittriges Gestein aber coole Neuerschließungen
Just in Time,9-,o.s.,Bayreuther Riss,Frankenjura,Germany,,technisch,2021-04-03,,3,etwas splittriges Gestein aber coole Neuerschließungen
Bayreuther Riss,6+,o.s.,Bayreuther Riss,Frankenjura,Germany,,Umlenker ist Schrott!,4. April 2017,,,etwas splittriges Gestein aber coole Neuerschließungen
Ballermann,10-/10,,Beach,Frankenjura,Germany,,,,X,,
Killer 9,8,o.s.,Bergler Turm,Frankenjura,Germany,,"nicht gut, unübersichtlich, die Sterne nicht verdient",1. May 2017,,0,"süßer kleiner Turm mit perfekter Aussicht ins Aufseßtal, aka. DAS Türmchen"
Nordwestwand,7,o.s.,Bergler Turm,Frankenjura,Germany,,mit Henni :-) Sehr cool!,11. April 2017,,1,"süßer kleiner Turm mit perfekter Aussicht ins Aufseßtal, aka. DAS Türmchen"
Talseite,4,o.s.,Bergler Turm,Frankenjura,Germany,,"Mit Dominik, nur 2 Haken statt 6 drin. Keine gute Vorstiegstur",25. May 2017,,1,"süßer kleiner Turm mit perfekter Aussicht ins Aufseßtal, aka. DAS Türmchen"
Red Porsche Killer,9-,,Brösel Ged.-Wand,Frankenjura,Germany,,schmerzhaft aber ganz cool. Kann man mal machen :-),25. May 2017,,1,
Back to the Beginning,8,F,Bauernschmitt Gedenk-Wand,Frankenjura,Germany,,ok,2016-10-01,,,
Klondike Cat,11-,,Bärenschlucht,Frankenjura,Germany,,"das wäre cool, wenn es mal geht! Schwerer unterer Teil führt zu Schüttler, gefolgt von Crux. Knüpplig
3x probiert im Frühjahr 2019 – geht",,X,2,"Die ""Arena"". Immer in der Sonne"
Minotauros,10,,Bärenschlucht,Frankenjura,Germany,,"Knüppelleisten, Zweifingersteller, Crux ist vor dem Bauch, davor noch n guter Rest, bis zum Rest ist ca. 9+",12. May 2017,,2,"Die ""Arena"". Immer in der Sonne"
Poseidon,10-,,Bärenschlucht,Frankenjura,Germany,,"müsste schon gehen! Nemesis tour, endlich geklettert, ziemlich easy wenn man die Ausdauer hat. Sehr gute Neuerschließung! Pumpig",2016-10-01,,3,"Die ""Arena"". Immer in der Sonne"
Triebwerke,10-,F,Bärenschlucht,Frankenjura,Germany,,"Jeah! Zusammen mit Odyssey zwei schwere Flashs an einem Tag. Danke Kevin, Marius und Moritz für die Beta",2021-10-24,,,"Die ""Arena"". Immer in der Sonne"
Amboss,10-,,Bärenschlucht,Frankenjura,Germany,hard,"viel mir recht schwer. 2 Tage. Mächtiger, mächtiger Kreuzer an der Dachkante. Voll die Poser Tour – echt cool!",14. March 2017,,2,"Die ""Arena"". Immer in der Sonne"
Center Court,10-,,Bärenschlucht,Frankenjura,Germany,hard,"Boulderstelle, geht! Nach 3 Jahren endlich geklettert, bin ich fit!!",2016-03-01,,3,"Die ""Arena"". Immer in der Sonne"
Odyssee,9+/10-,F,Bärenschlucht,Frankenjura,Germany,,zusammen mit Triebwerke zwei schwere Touren im Flash an einem Tag. Jeah!!!,2021-10-24,,,"Die ""Arena"". Immer in der Sonne"
Bärentöter,9+,,Bärenschlucht,Frankenjura,Germany,hard,rechts der Haken geklettert. Auch so schwer,2016-10-01,,2,"Die ""Arena"". Immer in der Sonne"
Metallica,9+,2. Go,Bärenschlucht,Frankenjura,Germany,hard,"ziemlich schwer, auch eher 8a. 2 Gos, sehr coole Boulderzüge",2016-03-01,,1,"Die ""Arena"". Immer in der Sonne"
Tanz der Arroganz,9+,,Bärenschlucht,Frankenjura,Germany,,super Route!,2015-04-01,,1,"Die ""Arena"". Immer in der Sonne"
Herkules,9/9+,,Bärenschlucht,Frankenjura,Germany,,"Pumpige Powerroute durch großes Dach, große Griffe",2014,,3,"Die ""Arena"". Immer in der Sonne"
Caduta Sassi,9,2. Go,Bärenschlucht,Frankenjura,Germany,,"Sehr gut, eine versteckte Perle. Der obere Teil ist mega spaßig!",2018-02-18,,1,"Die ""Arena"". Immer in der Sonne"
Hydra,9-/9,o.s.,Bärenschlucht,Frankenjura,Germany,,weite Züge an kleinen Knüpplern,2016-10-01,,2,"Die ""Arena"". Immer in der Sonne"
Rauchende Bolts,9-/9,2. Go,Bärenschlucht,Frankenjura,Germany,,"leider nicht im Onsight wie gewünscht aber fantastischste Linie. Uiuiuiui, weit und scary",2015-04-01,,3,"Die ""Arena"". Immer in der Sonne"
Sidewalk,9-,2. Go,Bärenschlucht,Frankenjura,Germany,hard,Richtig gut Gesteinsqualität und der weite HA ist nicht so wild... Sehr lohnend!,2018-02-18,,2,"Die ""Arena"". Immer in der Sonne"
Bückling,9-,,Bärenschlucht,Frankenjura,Germany,,"zweiter Riss in Franken nach dem Luftballondach. Im strömenden Regen! Super cool. Unten Dachkletterei und oben Faust, Hand und Schulterklemmer",2016-10-01,,2,"Die ""Arena"". Immer in der Sonne"
Roter Baron,9-,F,Bärenschlucht,Frankenjura,Germany,,,2014,,2,"Die ""Arena"". Immer in der Sonne"
Bärendreck,8+,o.s.,Bärenschlucht,Frankenjura,Germany,,dreckig und unten schwer. Nicht lohnend!,14. March 2017,,0,"Die ""Arena"". Immer in der Sonne"
Geiersturz,8+,o.s.,Bärenschlucht,Frankenjura,Germany,,viel besser als sie aussieht!,2016-04-01,,2,"Die ""Arena"". Immer in der Sonne"
Abendspaziergang,8/8+,o.s.,Bärenschlucht,Frankenjura,Germany,hard,sackhart!,2016-10-01,,,"Die ""Arena"". Immer in der Sonne"
A. Göttner Ged. Weg,8,F,Bärenschlucht,Frankenjura,Germany,,mittlerweile schon zig mal gemacht zum Aufwärmen,2014,,,"Die ""Arena"". Immer in der Sonne"
Monis Albtraum,7,o.s.,Bärenschlucht,Frankenjura,Germany,,,2014,,,"Die ""Arena"". Immer in der Sonne"
Kreuzzug,6+,,Bärenschlucht,Frankenjura,Germany,,Richtig cool mit Luft unter den Sohlen,2018-02-18,,3,"Die ""Arena"". Immer in der Sonne"
Trotzphase,10-,2. Go,Birkenreuther Wand,Frankenjura,Germany,soft,"Französisch nur 8a. Ein Queitsch Kickerle... ""Ihr Kickerle kommet, so kommet doch all"", ein guter Confidence Booster diese Tour, und klettert sich auch noch mega gut! Super Kompressionskante mit viel Trickserei",2020-06-24,,3,
Herzlich Willkommen am Arsch,9,2. Go,Birkenreuther Wand,Frankenjura,Germany,,mega reachy. Für Leute <1.80 schwerer!,2020-06-24,,,
Erlanger Weg,8-/8,F,Birkenreuther Wand,Frankenjura,Germany,,"Platte, gut!",2020-06-24,,,
Purzelbaum,8,F,Burggruber Wand,Frankenjura,Germany,,nett zum aufwärmen,6. September 2017,,,
Adrenalin,10,1. Go,Burggruber Block,Frankenjura,Germany,soft,"MEGA geile Linie und echt Spaßig. Von den Zügen echt gängig, man muss es halt oben selbst absichern, aber man hat bomber Placements! 1. Go nach zweimaligem auschecken im Toprope. Nichts vorgeclippt. Mit Matti, Paul, Sami und Matthias",2021-05-09,3,,
Shadow Warrior,9,o.s.,Dachsbau,Frankenjura,Germany,,Einstiegsboulder,2020-07-22,,,
Meister Grimbart,9-,o.s.,Dachsbau,Frankenjura,Germany,,,2020-07-22,,,
Kampf um Thule,8+,2. Go,Dachsbau,Frankenjura,Germany,hard,,2020-07-22,,,
Mamaplatzda,8+,F,Dachsbau,Frankenjura,Germany,,,2020-07-22,,,
Marmot at Work,8,o.s.,Dachsbau,Frankenjura,Germany,,,2020-07-22,,,
Green Card,8,F,Dachsbau,Frankenjura,Germany,,,2020-07-22,,,
Isegrim,8-,o.s.,Dachsbau,Frankenjura,Germany,hard,,2020-07-22,,,
King Lui,9,,Diebesloch,Frankenjura,Germany,,supergeil!,2014,,3,steiler und henkeliger Fels
Beavis & Butthead,9-,,Diebesloch,Frankenjura,Germany,,leider ist ein Untergriff lange nass,2014,,2,steiler und henkeliger Fels
Kampfei,8,o.s.,Diebesloch,Frankenjura,Germany,,"nett, weite Züge",2014,,2,steiler und henkeliger Fels
Blutspur,8-,o.s.,Diebesloch,Frankenjura,Germany,hard,schwer für 8-,2014,,,steiler und henkeliger Fels
Liebestöter,8-,F,Diebesloch,Frankenjura,Germany,,scheiße!,2014,,0,steiler und henkeliger Fels
Liebesspiele,7+,F,Diebesloch,Frankenjura,Germany,,eher unlohnend aber ok,2014,,1,steiler und henkeliger Fels
Quergang,7+,o.s.,Diebesloch,Frankenjura,Germany,,"große Kellen, kräftig",2014,,1,steiler und henkeliger Fels
Bonny & Clyde,7,o.s.,Diebesloch,Frankenjura,Germany,,sehr schön,2014,,2,steiler und henkeliger Fels
"Quäl dich, du Sau",10/10+,,Erinnerungswand,Frankenjura,Germany,,"im aktuellen Führer 10+ aber ich denke 10/10+ passt ganz gut. Neuer Schritt in einen neuen Grad, 5 Versuche über 2 Tage, im 2. richtigen Go gleich abgeknipst",10.05.18,,3,
Peacemaker,9+,,Erinnerungswand,Frankenjura,Germany,,eine der coolsten schweren Rissklettereien in Franken. Geht wohl auch clean. Aber gruuuuuselig!,06.05.18,,3,
City Cobra,9-,F,Erinnerungswand,Frankenjura,Germany,,richtig gut!!! Sehr empfehlenswert,10.05.18,,2,
Villa Concordia,8-,o.s.,Erinnerungswand,Frankenjura,Germany,,,06.05.18,,,
Titanic,9+/10-,2. Go,Folterkammer,Frankenjura,Germany,,Schwer und weite HA. Aber MEGA geile Tour!,02-06-2019,,3,
Eiserne Jungfrau,9/9+,o.s.,Folterkammer,Frankenjura,Germany,,"Stolzer On-sight, geile Challenge!",02-06-2019,,2,
Posthum,7+,o.s.,Folterkammer,Frankenjura,Germany,,,02-06-2019,,,
Silberne Sterne,10-/10,,Freudenhaus,Frankenjura,Germany,,"perfekte Gesteinsquali, sehr fränkisch: 10 Züge an Löchern und einer Leiste, mit Manu zusammen, Double Digit Double Sent",2019-11-30,,2,Im Schatten
Puffreis,9+,,Freudenhaus,Frankenjura,Germany,,ein echter Knüppelbacher!,,X,,Im Schatten
Ejakulation,8,o.s.,Freudenhaus,Frankenjura,Germany,,echt schön! Unten kleingriffig,01.11.17,,1,super Wand in der Sonne für leichte und schwere Touren
Jürgen Würgen,8-,F,Freudenhaus,Frankenjura,Germany,,"Einzelstelle, cooler Name :-D",01.11.17,,,super Wand in der Sonne für leichte und schwere Touren
80 C,7+,o.s.,Freudenhaus,Frankenjura,Germany,,nicht so dolle,2019-11-30,,,
Die Geigerin,7,F,Freudenhaus,Frankenjura,Germany,,"schwerer als Emanuelle, gute Aufwärmtouren hier",2019-11-24,,,super Wand in der Sonne für leichte und schwere Touren
Emanuelle,7,F,Freudenhaus,Frankenjura,Germany,,schön,2019-11-24,,,super Wand in der Sonne für leichte und schwere Touren
Mit oder ohne?,7-,o.s.,Freudenhaus,Frankenjura,Germany,,nicht so dolle,2019-11-30,,,
Venusfalle,6,o.s.,Freudenhaus,Frankenjura,Germany,,Gut!,01.11.17,,2,super Wand in der Sonne für leichte und schwere Touren
Thumps up!,10,,Fuchsloch,Frankenjura,Germany,soft,"Mikroleisten, stellt man sich gut die Finger durch. Kleine Tritte, quasi 2. Versuch, aber schonmal vor paar Jahren versucht. Riding the sending wave",2021-04-05,,2,"imposante Nordwand, fast nur Plattenkletterei. Red Line ist die mega Wandkletterei"
Projekt Scheibenwischer,10-/10,,Fuchsloch,Frankenjura,Germany,soft,Boulder nach der einfachen Verschneidung und ein anstrengender Clip. Nicht die Traumtour aber ganz okay,2019-06-06,,2,"imposante Nordwand, fast nur Plattenkletterei. Red Line ist die mega Wandkletterei"
Red Line,9,,Fuchsloch,Frankenjura,Germany,,toll! Fantastische Wandkletterei mit oben nochmal Abtropfstelle,2015-07-01,,3,"imposante Nordwand, fast nur Plattenkletterei. Red Line ist die mega Wandkletterei"
Fishersman's Friend,9,,Fuchsloch,Frankenjura,Germany,,"Platte, oben cooler Boulder, Routenführung ist etwas unklar.",2021-04-05,,3,"imposante Nordwand, fast nur Plattenkletterei. Red Line ist die mega Wandkletterei"
In Gemeiner Mission,9-/9,o.s.,Fuchsloch,Frankenjura,Germany,,nicht leichter als Red Line aber mutiger,2019-06-06,,3,"imposante Nordwand, fast nur Plattenkletterei. Red Line ist die mega Wandkletterei"
Sollenberger Weiße,8+,F,Fuchsloch,Frankenjura,Germany,,"harter Einstieg, dann leichtes Getänzel",2015-07-01,,,"imposante Nordwand, fast nur Plattenkletterei. Red Line ist die mega Wandkletterei"
Sichel,7+,F,Fuchsloch,Frankenjura,Germany,,,2021-04-05,,,"imposante Nordwand, fast nur Plattenkletterei. Red Line ist die mega Wandkletterei"
Millimetervariante,7,F,Fuchsloch,Frankenjura,Germany,,,2019-06-06,,,"imposante Nordwand, fast nur Plattenkletterei. Red Line ist die mega Wandkletterei"
Oxymoron,9+/10-,,Frankendorfer Klettergarten: Landrichterseite,Frankenjura,Germany,,Coole senkrechte Kletterei an Leisten und Slopern,2023-02-23,,2,"sehr schöne, senkrechte Wand mit aufregendem Zustieg (Schlitterpiste), die bei Regen zu nem 10er wird"
Hybris,9,,Frankendorfer Klettergarten: Landrichterseite,Frankenjura,Germany,,"Dreckig und nicht so coole Züge, fande ich. Oben echt schwer im nassen Riss",,X,0,
Richard Alt Ged.-Weg,9-,F,Frankendorfer Klettergarten: Landrichterseite,Frankenjura,Germany,,Einzelstelle,2014,,,"sehr schöne, senkrechte Wand mit aufregendem Zustieg (Schlitterpiste), die bei Regen zu nem 10er wird"
Orgasmatron,8,F,Frankendorfer Klettergarten: Landrichterseite,Frankenjura,Germany,,,2014,,,"sehr schöne, senkrechte Wand mit aufregendem Zustieg (Schlitterpiste), die bei Regen zu nem 10er wird"
Grand Crue,8-,o.s.,Frankendorfer Klettergarten: Landrichterseite,Frankenjura,Germany,,,2014,,,"sehr schöne, senkrechte Wand mit aufregendem Zustieg (Schlitterpiste), die bei Regen zu nem 10er wird"
Adolf Xaver Wand,7,F,Frankendorfer Klettergarten: Landrichterseite,Frankenjura,Germany,,,2023-02-23,,,
Rechte Badwanna,7,F,Frankendorfer Klettergarten: Landrichterseite,Frankenjura,Germany,hard,schwerster 7er den ich je gemacht habe!,2014,,,"sehr schöne, senkrechte Wand mit aufregendem Zustieg (Schlitterpiste), die bei Regen zu nem 10er wird"
Zock,9+,2. Go,Mader Ged.-Wand,Frankenjura,Germany,,"leider nicht im Flashm Boulder nach 20m, ultra gut",2022-09-03,,3,
Stalingrad Direkt,9+,,Mader Ged.-Wand,Frankenjura,Germany,,leider nicht im Onsight/Flash,,,,
Leningrad,8,F,Mader Ged.-Wand,Frankenjura,Germany,,,2022-09-03,,,
Kombination,10,,Marientaler Wände,Frankenjura,Germany,,beste Tour in der Wand!,,X,3,schattige Sommerwand für die ganze Familie (6-10. Grad)
Holyfield,10-,1 Tag,Marientaler Wände,Frankenjura,Germany,,"ein Tag, cooler Boulder mit weitem Sturz; keine Möglichkeit zu chalken: Luft holen und ab geht´s. Fit! Abends mit Moritz, Adam, Milena,... Bier, Joint, containerte Suppe und Rumpsteak",2016-10-01,,3,schattige Sommerwand für die ganze Familie (6-10. Grad)
Verbindung,10-,,Marientaler Wände,Frankenjura,Germany,soft,"Erste 10- in Franken, soft",2015-05-01,,2,schattige Sommerwand für die ganze Familie (6-10. Grad)
Amphibientraverse,9+/10-,,Marientaler Wände,Frankenjura,Germany,,ultra der fight! Fast an jedem Zug runter gefallen. Eigentlich ne scheiß tour aber mit Leftfield an einem mega geilen Klettertag zusammen weggekloppt!,7. April 2017,,1,schattige Sommerwand für die ganze Familie (6-10. Grad)
Leftfield,9+/10-,,Marientaler Wände,Frankenjura,Germany,,"schwerer Sloperboulder direkt unter dem Umlenker, sehr abhängig von Nässe und Temperatur",7. April 2017,,2,schattige Sommerwand für die ganze Familie (6-10. Grad)
Ab durch die Mitte,9+,2. Go,Marientaler Wände,Frankenjura,Germany,,"2. Go, Dynamo von Zange links in fetten Henkel. Trotz der Länge eigentlich nur eine Boulderstelle",2015-05-01,,3,schattige Sommerwand für die ganze Familie (6-10. Grad)
Kraftfeld,9+,,Marientaler Wände,Frankenjura,Germany,,,2015,,0,schattige Sommerwand für die ganze Familie (6-10. Grad)
The Left Side of Darkness,9,F,Marientaler Wände,Frankenjura,Germany,,ungewöhnliche Züge,2016-10-01,,,schattige Sommerwand für die ganze Familie (6-10. Grad)
Stromlinie,9,,Marientaler Wände,Frankenjura,Germany,,,2015,,2,schattige Sommerwand für die ganze Familie (6-10. Grad)
Saftfeld,9-,o.s.,Marientaler Wände,Frankenjura,Germany,,"kurze Boulderroute, oben leicht nach links",2015-05-01,,,schattige Sommerwand für die ganze Familie (6-10. Grad)
Wounded Knee,8+/9-,F,Marientaler Wände,Frankenjura,Germany,,,2015-08-01,,,
Hängt a weng über,8+,F,Marientaler Wände,Frankenjura,Germany,,Oben riesen Runouts oder wackelige Schlingen klippen.,2015-05-01,,,schattige Sommerwand für die ganze Familie (6-10. Grad)
Ammonit,8,,Marientaler Wände,Frankenjura,Germany,,"coole Strukturen, oben schwer",2015,,,schattige Sommerwand für die ganze Familie (6-10. Grad)
Opa Falkenstein,8-,o.s.,Marientaler Wände,Frankenjura,Germany,,,2017,,,
Ramin,7+,o.s.,Marientaler Wände,Frankenjura,Germany,,"runout in der Gufel, da deckt man....",2016-10-01,,,schattige Sommerwand für die ganze Familie (6-10. Grad)
Katze Sudan,7+,o.s.,Marientaler Wände,Frankenjura,Germany,,schöne Aufwärmtour,2016-10-01,,1,schattige Sommerwand für die ganze Familie (6-10. Grad)
Hasenfuß,6+,o.s.,Marientaler Wände,Frankenjura,Germany,,"unten schwer, oben weite Züge an guten Griffen",13. May 2017,,,schattige Sommerwand für die ganze Familie (6-10. Grad)
Trittbrettfahrer,6+,o.s.,Marientaler Wände,Frankenjura,Germany,,unten und oben tricky aber recht homogen,13. May 2017,,,schattige Sommerwand für die ganze Familie (6-10. Grad)
Tschernobyl,10-,2. Go,Moritzer Turm,Frankenjura,Germany,soft,"drei schwere Züge am Ende nach mega Schüttler, eher leicht. 1 1/2 Wochen vor MA Abgabe, nice :-) Gutes Abschalten",2019-07-19,,,
High Gravity Day,9/9+,,Moritzer Turm,Frankenjura,Germany,,,,X,,
